Period	Frame	Time [s]	player	x	y
1	20412	816.48	16	0.51078	0.30486
1	20412	816.48	17	0.4787	0.45378
1	20412	816.48	18	0.34605	0.06176
1	20412	816.48	19	0.20562	0.09819
1	20412	816.48	20	0.37611	0.28807
1	20412	816.48	21	0.30657	0.1441
1	20412	816.48	22	0.30302	0.69375
1	20412	816.48	23	0.23654	0.17199
1	20412	816.48	24	0.2023	0.41749
1	20412	816.48	25	0.80728	0.45264
1	20413	816.52	15	0.49312	0.14374
1	20413	816.52	16	0.51046	0.30439
1	20413	816.52	17	0.47876	0.4538
1	20413	816.52	18	0.34529	0.06196
1	20413	816.52	19	0.20496	0.09737
1	20413	816.52	20	0.37564	0.28738
1	20413	816.52	21	0.30637	0.14322
1	20413	816.52	22	0.30253	0.69238
1	20413	816.52	23	0.23632	0.17172
1	20413	816.52	24	0.20198	0.41721
1	20413	816.52	25	0.80705	0.45253
1	20414	816.56	15	0.49234	0.14307
1	20414	816.56	16	0.51015	0.30389
1	20414	816.56	17	0.47882	0.4538
1	20414	816.56	18	0.34452	0.06205
1	20414	816.56	19	0.20433	0.09643
1	20414	816.56	20	0.37519	0.28674
1	20414	816.56	21	0.30617	0.14216
1	20414	816.56	22	0.30207	0.69104
1	20414	816.56	23	0.2361	0.17143
1	20414	816.56	24	0.20167	0.4169
1	20414	816.56	25	0.80683	0.45242
1	20415	816.6	15	0.49155	0.14233
1	20415	816.6	16	0.50986	0.30345
1	20415	816.6	17	0.47891	0.45384
1	20415	816.6	18	0.34376	0.06205
1	20415	816.6	19	0.2041	0.09631
1	20415	816.6	20	0.37478	0.28614
1	20415	816.6	21	0.30599	0.14117
1	20415	816.6	22	0.30164	0.68962
1	20415	816.6	23	0.2359	0.17113
1	20415	816.6	24	0.20139	0.41658
1	20415	816.6	25	0.80661	0.45231
1	20416	816.64	15	0.49076	0.14159
1	20416	816.64	16	0.5096	0.30311
1	20416	816.64	17	0.47901	0.45381
1	20416	816.64	18	0.34301	0.06195
1	20416	816.64	19	0.20388	0.09598
1	20416	816.64	20	0.37439	0.28552
1	20416	816.64	21	0.30583	0.14008
1	20416	816.64	22	0.30125	0.68827
1	20416	816.64	23	0.23569	0.17082
1	20416	816.64	24	0.20111	0.41616
1	20416	816.64	25	0.80638	0.4522
1	20417	816.68	15	0.48997	0.14084
1	20417	816.68	16	0.50936	0.30276
1	20417	816.68	17	0.47913	0.45382
1	20417	816.68	18	0.3423	0.06183
1	20417	816.68	19	0.20366	0.09534
1	20417	816.68	20	0.37402	0.28495
1	20417	816.68	21	0.30567	0.13889
1	20417	816.68	22	0.3009	0.68691
1	20417	816.68	23	0.23549	0.17049
1	20417	816.68	24	0.20085	0.41573
1	20417	816.68	25	0.80617	0.45204
1	20418	816.72	15	0.48916	0.14002
1	20418	816.72	16	0.50914	0.3024
1	20418	816.72	17	0.47927	0.45386
1	20418	816.72	18	0.34162	0.06171
1	20418	816.72	19	0.20348	0.09449
1	20418	816.72	20	0.37368	0.28442
1	20418	816.72	21	0.30554	0.13776
1	20418	816.72	22	0.30058	0.68555
1	20418	816.72	23	0.23533	0.17032
1	20418	816.72	24	0.20061	0.41526
1	20418	816.72	25	0.80598	0.45182
1	20419	816.76	15	0.48835	0.1392
1	20419	816.76	16	0.50894	0.30203
1	20419	816.76	17	0.4794	0.4539
1	20419	816.76	18	0.34096	0.06157
1	20419	816.76	19	0.20335	0.09341
1	20419	816.76	20	0.37337	0.28395
1	20419	816.76	21	0.30543	0.13663
1	20419	816.76	22	0.30031	0.68419
1	20419	816.76	23	0.23518	0.17014
1	20419	816.76	24	0.2004	0.41484
1	20419	816.76	25	0.80579	0.45152
1	20420	816.8	15	0.48754	0.1383
1	20420	816.8	16	0.50876	0.30171
1	20420	816.8	17	0.47956	0.45392
1	20420	816.8	18	0.34032	0.06143
1	20420	816.8	19	0.20321	0.09192
1	20420	816.8	20	0.37309	0.28353
1	20420	816.8	21	0.30531	0.13548
1	20420	816.8	22	0.30007	0.68287
1	20420	816.8	23	0.23507	0.16984
1	20420	816.8	24	0.20021	0.41439
1	20420	816.8	25	0.80562	0.45119
1	20421	816.84	15	0.48672	0.13739
1	20421	816.84	16	0.5086	0.30137
